C¢digo;Marca;Modelo;C. Homologaci¢n;F. Homologaci¢n;;
EAT25000050;CISCO;SFP10GSR;HET25000002;21/11/2025;;
EAT25000049;CISCO;C130048P4X;HET25000001;21/11/2025;;
EAT25000004;SENKE;SK_65GBH3;HET25000004;21/11/2025;;
EAT25000005;SENKE;SK_85GBH3;HET25000003;21/11/2025;;
EAT25000050;CISCO;SFP10GSR;HET25000002;21/11/2025;;
EAT25000049;CISCO;C130048P4X;HET25000001;21/11/2025;;
EAT25000050;CISCO;SFP10GSR;HET25000002;21/11/2025;;
EAT25000049;CISCO;C130048P4X;HET25000001;21/11/2025;;
EAT25000063;CUDY;M36003PACK;HET25000021;26/11/2025;;
EAT25000062;CUDY;M36002PACK;HET25000020;26/11/2025;;
EAT25000010;CUDY;M36001PACK;HET25000019;26/11/2025;;
EAT25000053;CUDY;M15003PACK;HET25000018;26/11/2025;;
EAT25000018;CUDY;FS108D;HET25000017;26/11/2025;;
EAT25000055;CUDY;M30003PACK;HET25000016;26/11/2025;;
EAT25000054;CUDY;M30001PACK;HET25000015;26/11/2025;;
EAT25000025;CUDY;FS105D;HET25000014;26/11/2025;;
EAT25000022;CUDY;AP1300;HET25000013;26/11/2025;;
EAT25000024;CUDY;AP3600;HET25000012;26/11/2025;;
EAT25000023;CUDY;AP3000_OUTDOOR;HET25000011;26/11/2025;;
EAT25000029;SOFTEL;SFT9232;HET25000010;26/11/2025;;
EAT25000028;SOFTEL;SFT3332;HET25000009;26/11/2025;;
EAT25000044;HAVIT;TW958_PRO;HET25000008;26/11/2025;;
EAT25000043;HAVIT;SK851BT;HET25000007;26/11/2025;;
EAT25000114;GARMIN;EPIX_PRO_GEN_2;HET25000006;26/11/2025;;
EAT25000131;TPLINK;DECO_X50;HET25000005;26/11/2025;;
EAT25000011;NOVA;TX2NV4433BPS;HET25000048;28/11/2025;;
EAT25000013;NOVA;TX1NV4433;HET25000047;28/11/2025;;
EAT25000031;HAVIT;E553BT;HET25000046;28/11/2025;;
EAT25000034;HAVIT;IPC20;HET25000045;28/11/2025;;
EAT25000042;LENOVO;MOBTQ2O;HET25000044;28/11/2025;;
EAT25000133;CONTINENTAL;23040401;HET25000043;28/11/2025;;
EAT25000066;CUDY;RE3600;HET25000042;28/11/2025;;
EAT25000065;CUDY;POE15;HET25000041;28/11/2025;;
EAT25000068;CUDY;WR1300E;HET25000040;28/11/2025;;
EAT25000067;CUDY;WR300;HET25000039;28/11/2025;;
EAT25000069;CUDY;WR6500H;HET25000038;28/11/2025;;
EAT25000071;HAVIT;SK818BT;HET25000037;28/11/2025;;
EAT25000070;HAVIT;OWS915;HET25000036;28/11/2025;;
EAT25000072;HAVIT;TW982;HET25000035;28/11/2025;;
EAT25000074;RUIJIE_REYEE;RGM18;HET25000034;28/11/2025;;
EAT25000083;DARKTRACE;E82S;HET25000033;28/11/2025;;
EAT25000084;DARKTRACE;E87S;HET25000032;28/11/2025;;
EAT25000082;HUAWEI;HG8010H;HET25000031;28/11/2025;;
EAT25000085;RUIJIE_REYEE;RGNBS320048GT4XSP;HET25000030;28/11/2025;;
EAT25000094;RUIJIE_REYEE;RGRAP62OD;HET25000029;28/11/2025;;
EAT25000168;JD_PRODUT_CA;JD_176L;HET25000028;28/11/2025;;
EAT25000166;JD_PRODUCT_CA;JD506_M;HET25000027;28/11/2025;;
EAT25000165;JD_PRODUTC_CA;JD_506L;HET25000026;28/11/2025;;
EAT25000167;JD_PRODUCT_CA;JD_508H;HET25000025;28/11/2025;;
EAT25000132;RUIJIE_REYEE;RGRAP6260H;HET25000024;28/11/2025;;
